Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,batchnorm,epochs,layers,lr,num_layers,relu,sensor,duration,mse_list
2023-04-23 15:10:51,54ms,f8e068b5e43d4a84920c400fadb8420b,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 40",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,40,False,500,128_64_32_,1e-05,4,True,lidar,78.61248683929443,53.47635290781657
2023-04-23 14:30:40,53ms,969197916f1945498daa2505613cb873,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 60",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,60,False,500,128_256_512_,1e-05,4,True,lidar,63.775516748428345,54.54497901916504
2023-04-23 13:53:00,47ms,512f50d0201543d3a88e883d08675f89,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 40",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,40,True,500,32_64_128_,1e-05,4,True,lidar,96.83021473884583,54.96532206217448
2023-04-23 13:58:04,67ms,ff0eda913d184043969d4c70ba2cddee,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 50",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,50,True,500,32_64_128_,1e-05,4,True,lidar,85.10032773017883,58.99334192276001
2023-04-23 15:16:10,57ms,4f0ec742b02a4fb3b25e0591a0e2d13d,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 50",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,50,False,500,128_64_32_,1e-05,4,True,lidar,69.23055410385132,60.002315839131676
2023-04-23 14:10:35,51ms,782bbcbe4a604c4ea1ad84ebcd40aac5,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 50",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,50,False,500,64_128_256_,1e-05,4,True,lidar,71.5692629814148,61.35230172475179
2023-04-23 14:15:26,51ms,1b987c3880c94c759ab9fb816636ea27,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 60",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,60,False,500,64_128_256_,1e-05,4,True,lidar,66.03028750419617,65.08792854309083
2023-04-23 14:02:33,49ms,6b6ea0b8b8f44dfa9bd3833275b9aa79,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 60",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,60,True,500,32_64_128_,1e-05,4,True,lidar,76.11750149726868,65.46628101348877
2023-04-23 15:36:01,55ms,1663a009148a456393418b1e5e239037,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 60",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,60,False,500,256_128_32_,1e-05,4,True,lidar,64.04431223869324,66.92626731872559
2023-04-23 13:49:51,51ms,792e5712764c4a9e93ed250c525415d2,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 40",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,40,False,500,32_64_128_,1e-05,4,True,lidar,79.86783242225647,71.97301495869955
